,id,health_score,circumstance_score,effort_score,time_bin
683,25904,0.9471428571428572,0.5714285714285714,0.45276906094357605,0 to 4 years
684,20461,0.9042857142857142,0.14285714285714285,0.44992497894683514,0 to 4 years
685,24909,0.9471428571428572,0.5714285714285714,0.5423085544231971,0 to 4 years
686,24968,0.9042857142857142,0.14285714285714285,0.5039595064880787,0 to 4 years
687,26377,0.9042857142857142,0.14285714285714285,0.4483612405992571,0 to 4 years
688,24275,0.9757142857142858,0.8571428571428571,0.4763420934914344,0 to 4 years
689,20206,0.9185714285714286,0.2857142857142857,0.4531330499351467,0 to 4 years
690,20520,0.9471428571428572,0.5714285714285714,0.6361452084942589,0 to 4 years
691,27865,0.9185714285714286,0.2857142857142857,0.5519652684542669,0 to 4 years
692,23214,0.99,1.0,0.5314238655644135,0 to 4 years
693,20703,0.9471428571428572,0.5714285714285714,0.8248114396231342,0 to 4 years
694,28878,0.9471428571428572,0.5714285714285714,0.4864708512330704,0 to 4 years
695,21158,0.9185714285714286,0.2857142857142857,0.6834570673706097,0 to 4 years
696,21767,0.9471428571428572,0.5714285714285714,0.5874067885401705,0 to 4 years
697,22143,0.9328571428571428,0.42857142857142855,0.634406914312253,0 to 4 years
698,24242,0.9757142857142858,0.8571428571428571,0.5396167170497812,0 to 4 years
699,25369,0.9328571428571428,0.42857142857142855,0.6461223135407439,0 to 4 years
700,24454,0.9471428571428572,0.5714285714285714,0.561707023693867,0 to 4 years
701,22377,0.9185714285714286,0.2857142857142857,0.5740774817952247,0 to 4 years
702,21452,0.9042857142857142,0.14285714285714285,0.5312259678046696,0 to 4 years
703,27489,0.9042857142857142,0.14285714285714285,0.7772737395349273,0 to 4 years
704,21151,0.9471428571428572,0.5714285714285714,0.5810613117866908,0 to 4 years
705,28742,0.9185714285714286,0.2857142857142857,0.7465570432241673,0 to 4 years
706,29031,0.9185714285714286,0.2857142857142857,0.5313732719427484,0 to 4 years
707,26247,0.9328571428571428,0.42857142857142855,0.7265167479698619,0 to 4 years
